"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES"
"US1CASU0005","SUTTER 0.3 W, CA US","39.159623","-121.75111","22.3","2012-01","3.48","1,,,N"
"US1CASU0005","SUTTER 0.3 W, CA US","39.159623","-121.75111","22.3","2012-02","0.71","3,,,N"
"US1CASU0005","SUTTER 0.3 W, CA US","39.159623","-121.75111","22.3","2012-03","4.65","1,,,N"
"US1CASU0005","SUTTER 0.3 W, CA US","39.159623","-121.75111","22.3","2012-04","2.47",",,,N"
"US1CASU0005","SUTTER 0.3 W, CA US","39.159623","-121.75111","22.3","2012-05","0.01","2,,,N"
"US1CASU0005","SUTTER 0.3 W, CA US","39.159623","-121.75111","22.3","2012-06","0.05",",,,N"
"US1CASU0005","SUTTER 0.3 W, CA US","39.159623","-121.75111","22.3","2012-07","0.00",",T,,N"
"US1CASU0005","SUTTER 0.3 W, CA US","39.159623","-121.75111","22.3","2012-08","0.00","1,,,N"
"US1CASU0005","SUTTER 0.3 W, CA US","39.159623","-121.75111","22.3","2012-09","0.00",",,,N"
"US1CASU0005","SUTTER 0.3 W, CA US","39.159623","-121.75111","22.3","2012-10","1.28","1,,,N"
"US1CASU0005","SUTTER 0.3 W, CA US","39.159623","-121.75111","22.3","2012-11","4.20",",,,N"
"US1CASU0005","SUTTER 0.3 W, CA US","39.159623","-121.75111","22.3","2012-12","6.72","1,,,N"
"US1CASU0005","SUTTER 0.3 W, CA US","39.159623","-121.75111","22.3","2013-01","0.72","1,,,N"
"US1CASU0005","SUTTER 0.3 W, CA US","39.159623","-121.75111","22.3","2013-05","0.24","3,,,N"
"US1CASU0005","SUTTER 0.3 W, CA US","39.159623","-121.75111","22.3","2013-10","0.00","2,,,N"
"US1CASU0005","SUTTER 0.3 W, CA US","39.159623","-121.75111","22.3","2015-05","0.00","1,,,N"
"US1CASU0005","SUTTER 0.3 W, CA US","39.159623","-121.75111","22.3","2015-06","0.14","2,,,N"
