Counties,totalacresburned
Colusa,459288
Shasta,448527
Siskiyou,367914
Santa Barbara,362568
Tuolumne,299132
Napa,243830
Mariposa,217852
Fresno,214411
Los Angeles,194580
Butte,190702
Trinity,188086
Modoc,179192
Monterey,156566
Lassen,151797
Kern,119464
Lake,119333
El Dorado,110171
Sonoma,104324
Riverside,97362
San Luis Obispo,96652
Tulare,94255
San Bernardino,90897
San Diego,65369
Plumas,63817
Kings,54377
Mendocino,53589
Tehama,51975
Ventura,45116
Madera,44505
Del Norte,38407
Orange,36764
Inyo,31884
Placer,31682
Mono,28885
Humboldt,22925
Yolo,18393
Merced,13641
San Joaquin,13351
Yuba,11910
Stanislaus,11283
Solano,9415
Santa Clara,7544
Contra Costa,6884
Alameda,6387
Amador,6285
San Benito,4354
Nevada,4201
Glenn,2998
Sutter,2850
Calaveras,2648
Sacramento,1822
Mexico,1532
State of Oregon,1301
State of Nevada,1165
Sierra,915
Santa Cruz,428
Marin,349
San Mateo,153
Alpine,0
